name,coordinates
de Weidjes - Bergen,"4.6538086,52.6195784,0
                4.6551819,52.6175852,0
                4.6562441,52.617937,0
                4.6573277,52.6185297,0
                4.6581753,52.6191485,0
                4.6584757,52.6196891,0
                4.6568663,52.62036,0
                4.6538086,52.6195784,0"
MAG complex - Bergen,"4.6677591,52.6313916,0
                4.6682097,52.6303497,0
                4.6694435,52.629705,0
                4.6722116,52.6307274,0
                4.6712996,52.632199,0
                4.6677591,52.6313916,0"
P.Schotmanstraat - Egmond aan Zee,"4.6327149,52.6180886,0
                4.6327793,52.6177076,0
                4.6331602,52.6172581,0
                4.6331441,52.6171669,0
                4.6334552,52.6171767,0
                4.6334874,52.6172321,0
                4.6339702,52.6172581,0
                4.6345335,52.6174275,0
                4.6354079,52.6174763,0
                4.636014,52.6174731,0
                4.6359443,52.6182612,0
                4.6327149,52.6180886,0"
Schulpstet - Castricum,"4.6610801,52.5601668,0
                4.6613269,52.5596059,0
                4.6615951,52.5589667,0
                4.6624427,52.5581188,0
                4.6650712,52.5570425,0
                4.6672492,52.5591885,0
                4.6662729,52.559645,0
                4.666466,52.5603103,0
                4.6666269,52.5603821,0
                4.6666698,52.5607212,0
                4.6646957,52.5605256,0
                4.6646206,52.5608973,0
                4.663419,52.5608843,0
                4.6633653,52.5604929,0
                4.6623461,52.560506,0
                4.6610801,52.5601668,0"
De Boekel - Castricum,"4.7536518,52.5872927,0
                4.7564842,52.5926243,0
                4.7519782,52.5934716,0
                4.7518923,52.5930806,0
                4.7512271,52.592142,0
                4.745219,52.5928068,0
                4.7444465,52.5904605,0
                4.75333,52.5888179,0
                4.7536518,52.5872927,0"
De oude werf - Heiloo,"4.717005,52.5930297,0
                4.7182173,52.5917196,0
                4.7180779,52.5915437,0
                4.7220368,52.5903509,0
                4.7244615,52.5942484,0
                4.720052,52.5954802,0
                4.7193868,52.5954867,0
                4.717005,52.5930297,0"
Oosterzij - Heiloo,"4.7024448,52.5879351,0
                4.6992047,52.5834634,0
                4.7104056,52.5825377,0
                4.7139032,52.5825638,0
                4.7176368,52.5821987,0
                4.7184308,52.5823682,0
                4.7191603,52.5846107,0
                4.7126372,52.5854711,0
                4.7115214,52.5860317,0
                4.7104271,52.5875962,0
                4.7098477,52.5874136,0
                4.7056634,52.5874528,0
                4.7024448,52.5879351,0"
De Volger - Alkmaar,"4.8489431,52.5515357,0
                4.8419908,52.5519532,0
                4.841347,52.5511051,0
                4.8406819,52.5512226,0
                4.8402098,52.5500352,0
                4.8397377,52.5501005,0
                4.8394373,52.5491349,0
                4.8375061,52.5493568,0
                4.8368838,52.5479215,0
                4.8440722,52.5473604,0
                4.8481706,52.5503092,0
                4.8489431,52.5515357,0"
Beverkoog - Alkmaar,"4.7688995,52.6459962,0
                4.7717319,52.6439391,0
                4.7743927,52.6423246,0
                4.7772251,52.6418299,0
                4.7850786,52.6410226,0
                4.7880398,52.645163,0
                4.7882544,52.6465951,0
                4.7900568,52.6474804,0
                4.7979103,52.6529219,0
                4.7999273,52.6557595,0
                4.8007427,52.6582065,0
                4.8010431,52.6602369,0
                4.7688995,52.6459962,0"
Neerlandia,"4.8135409,52.6128784,0
                4.8115131,52.609191,0
                4.8133263,52.6088066,0
                4.8136911,52.6095233,0
                4.8143884,52.609393,0
                4.8153326,52.6110347,0
                4.8164913,52.6108523,0
                4.817135,52.6121357,0
                4.8135409,52.6128784,0"
